,contribution_receipt_amount,contributor_zip,party
0,500.0,27006,REP
1,10.0,92801,REP
2,10.0,92801,REP
3,16.0,8889,REP
4,20.0,93420,REP
5,25.0,19106,REP
6,35.0,98531,REP
7,25.0,28571,REP
8,30.0,22003,REP
9,25.0,92821,REP
10,50.0,80229,REP
11,35.0,85390,REP
12,1000.0,46268,REP
13,-1000.0,46268,REP
14,250.0,37377,REP
15,-50.0,7666,DEM
16,-700.0,20011,DEM
17,-500.0,27006,REP
18,-16.0,8889,REP
19,16.0,8889,REP
20,2000.0,60611,DEM
21,1000.0,10024,DEM
22,500.0,10013,DEM
23,500.0,10013,DEM
24,100.0,60601,DEM
25,50.0,13905,DEM
26,2000.0,10523,DEM
27,50.0,8525,DEM
28,125.0,10023,DEM
29,2000.0,19072,DEM
30,250.0,34986,DEM
31,100.0,10606,DEM
32,75.0,11790,DEM
33,250.0,49009,DEM
34,250.0,7760,DEM
35,50.0,10024,DEM
36,250.0,10567,DEM
37,1000.0,48302,DEM
38,250.0,10306,DEM
39,25.0,60007,DEM
40,250.0,92121,DEM
41,150.0,8844,DEM
42,50.0,10011,DEM
43,50.0,44077,DEM
44,75.0,6250,DEM
45,250.0,73061,DEM
46,25.0,98075,DEM
47,250.0,7102,DEM
48,250.0,10065,DEM
49,250.0,19143,DEM
50,50.0,15068,DEM
51,50.0,96778,DEM
52,200.0,64114,DEM
53,1000.0,19103,DEM
54,100.0,22314,DEM
55,100.0,11205,DEM
56,100.0,7086,DEM
57,125.0,10075,DEM
58,125.0,10543,DEM
59,50.0,85032,DEM
60,500.0,7043,DEM
61,225.0,10036,DEM
62,250.0,8536,DEM
63,150.0,7748,DEM
64,50.0,10009,DEM
65,150.0,10019,DEM
66,500.0,10022,DEM
67,2000.0,8540,DEM
68,250.0,8050,DEM
69,125.0,11209,DEM
70,100.0,7920,DEM
71,50.0,94533,DEM
72,50.0,41011,DEM
73,500.0,10021,DEM
74,300.0,11375,DEM
75,500.0,10019,DEM
76,250.0,7753,DEM
77,250.0,19119,DEM
78,500.0,10012,DEM
79,1000.0,19103,DEM
80,50.0,84106,DEM
81,2000.0,18940,DEM
82,100.0,29617,DEM
83,625.0,10036,DEM
84,225.0,8619,DEM
85,225.0,11230,DEM
86,1300.0,19087,DEM
87,-1300.0,19087,DEM
88,2000.0,19087,DEM
89,260.0,7024,DEM
90,-260.0,7024,DEM
91,500.0,7024,DEM
92,200.0,20001,DEM
93,250.0,20814,DEM
94,1000.0,7626,DEM
95,-1000.0,10010,DEM
96,1000.0,10010,DEM
97,150.0,10280,DEM
98,75.0,11368,DEM
99,150.0,11103,DEM
100,2300.0,18966,DEM
101,2300.0,18966,DEM
102,250.0,10016,DEM
103,100.0,94002,DEM
104,150.0,10035,DEM
105,15.0,6903,DEM
106,50.0,7039,DEM
107,100.0,89128,DEM
108,1217.02,90071,DEM
109,30.0,29601,
110,60.0,29601,
111,60.0,32789,
112,25.0,65747,REP
113,20.0,38549,REP
114,100.0,33176,REP
115,50.0,37072,REP
116,100.0,48080,REP
117,100.0,80014,REP
118,2.0,77001,REP
119,35.0,78213,REP
120,19.0,92024,REP
121,200.0,32807,REP
122,25.0,10901,REP
123,100.0,33702,REP
124,100.0,27701,REP
125,25.0,62563,REP
126,50.0,40245,REP
127,1000.0,72207,REP
128,150.0,33129,REP
129,50.0,92821,REP
130,250.0,76049,REP
131,-47.0,43220,DEM
132,-50.0,38201,DEM
133,-55.0,94117,DEM
134,-55.0,94109,DEM
135,-36.0,53719,DEM
136,50.0,2122,REP
137,-1000.0,72207,REP
138,-150.0,33129,REP
139,2300.0,10023,DEM
140,2300.0,6107,DEM
141,2300.0,10528,DEM
142,2300.0,6840,DEM
143,1500.0,10128,DEM
144,1000.0,10024,DEM
145,1000.0,10583,DEM
146,500.0,19958,DEM
147,100.0,98230,DEM
148,2000.0,7760,DEM
149,250.0,10514,DEM
150,991.0,19096,DEM
151,-991.0,19096,DEM
152,1000.0,19096,DEM
153,150.0,10128,DEM
154,150.0,10012,DEM
155,50.0,10469,DEM
156,250.0,10024,DEM
157,250.0,6897,DEM
158,75.0,10025,DEM
159,150.0,7080,DEM
160,125.0,10128,DEM
161,375.0,11217,DEM
162,125.0,10023,DEM
163,100.0,95110,DEM
164,50.0,21044,DEM
165,250.0,12590,DEM
166,75.0,10003,DEM
167,1000.0,11206,DEM
168,25.0,13210,DEM
169,150.0,10001,DEM
170,25.0,16801,DEM
171,40.0,27249,DEM
172,500.0,10022,DEM
173,250.0,10708,DEM
174,25.0,66212,DEM
175,75.0,19130,DEM
176,150.0,11545,DEM
177,15.0,23454,DEM
178,250.0,11050,DEM
179,500.0,11230,DEM
180,125.0,10033,DEM
181,225.0,10977,DEM
182,10.0,60201,DEM
183,250.0,63052,DEM
184,75.0,7002,DEM
185,750.0,10022,DEM
186,100.0,10024,DEM
187,150.0,11360,DEM
188,100.0,6108,DEM
189,2000.0,19118,DEM
190,250.0,10549,DEM
191,2000.0,19046,DEM
192,25.0,7076,DEM
193,25.0,7076,DEM
194,75.0,10023,DEM
195,250.0,11231,DEM
196,75.0,11356,DEM
197,75.0,10003,DEM
198,250.0,72712,DEM
199,50.0,20009,DEM
200,250.0,11234,DEM
201,100.0,94530,DEM
202,50.0,62232,DEM
203,250.0,62232,DEM
204,150.0,7452,DEM
205,25.0,8817,DEM
206,125.0,10025,DEM
207,1000.0,7302,DEM
208,500.0,10024,DEM
209,61.0,93460,DEM
210,20.0,90066,DEM
211,150.0,11223,DEM
212,250.0,98155,DEM
213,75.0,8854,DEM
214,50.0,75002,DEM
215,150.0,10038,DEM
216,50.0,20016,DEM
217,500.0,10607,DEM
218,25.0,6611,DEM
219,20.0,43081,DEM
220,100.0,94063,DEM
221,250.0,10025,DEM
222,100.0,38305,DEM
223,250.0,10025,DEM
224,880.0,19342,DEM
225,15.0,12306,DEM
226,300.0,11230,DEM
227,250.0,10019,DEM
228,250.0,33134,DEM
229,250.0,10011,DEM
230,250.0,10011,DEM
231,250.0,10463,DEM
232,25.0,11414,DEM
233,125.0,6461,DEM
234,50.0,92651,DEM
235,150.0,11040,DEM
236,150.0,10026,DEM
237,20.0,80215,DEM
238,100.0,10530,DEM
239,100.0,11217,DEM
240,500.0,10312,DEM
241,1000.0,10509,DEM
242,150.0,10025,DEM
243,250.0,7087,DEM
244,300.0,10033,DEM
245,25.0,90501,LIB
246,300.0,29601,
247,30.0,29601,
248,22.0,29072,
249,60.0,29601,
250,30.0,32246,
251,30.0,29602,
252,30.0,29601,
253,30.0,29602,
254,15.0,29602,
255,15.0,29938,
256,30.0,29601,
257,22.0,29601,
258,30.0,29601,
259,15.0,29201,
260,20.0,32207,
261,3.0,29132,
262,15.0,29732,
263,6.0,29072,
264,60.0,29526,
265,30.0,29526,
266,60.0,29601,
267,30.0,29601,
268,15.0,32607,
269,15.0,29072,
270,30.0,29302,
271,6.0,29860,
272,6.0,32246,
273,30.0,29601,
274,30.0,32025,
275,30.0,29602,
276,30.0,32246,
277,60.0,29601,
278,30.0,32207,
279,30.0,33428,
280,30.0,32025,
281,60.0,29072,
282,45.0,29601,
283,30.0,32060,
284,3.0,29505,
285,15.0,29601,
286,30.0,29601,
287,30.0,29201,
288,50.0,74501,REP
289,100.0,33414,REP
290,140.0,23059,REP
291,100.0,92028,REP
292,2000.0,35242,REP
293,200.0,35801,REP
294,25.0,93001,REP
295,40.0,30338,REP
296,10.0,85635,REP
297,50.0,37073,REP
298,100.0,93449,REP
299,15.0,64423,REP
300,2500.0,93311,REP
301,101.0,65804,REP
302,-100.0,98032,DEM
303,-70.0,13104,DEM
304,-2070.0,10024,DEM
305,-140.0,23059,REP
306,-2000.0,35242,REP
307,-2500.0,93311,REP
308,25.0,16601,DEM
309,20.0,28607,DEM
310,50.0,47404,DEM
311,10.0,55413,DEM
312,50.0,25962,DEM
313,500.0,98011,DEM
314,40.0,11205,DEM
315,25.08,94014,DEM
316,50.0,98382,DEM
317,250.0,6085,DEM
318,50.0,93309,DEM
319,500.0,19146,DEM
320,25.0,75074,DEM
321,25.0,4901,DEM
322,50.0,8828,DEM
323,50.0,10009,DEM
324,50.0,97032,DEM
325,50.0,94070,DEM
326,250.0,44695,LIB
327,20.0,23336,REP
328,500.0,53562,REP
329,1000.0,11426,REP
330,500.0,39759,REP
331,100.0,80208,REP
332,25.0,84037,REP
333,100.0,30338,REP
334,25.0,78704,REP
335,35.0,81403,REP
336,30.0,82609,REP
337,30.0,82609,REP
338,1.0,27278,REP
339,25.0,27278,REP
340,-2250.0,2121,DEM
341,-1000.0,10021,DEM
342,-500.0,53562,REP
343,-1000.0,11426,REP
344,-500.0,39759,REP
345,500.0,62522,DEM
346,500.0,80002,DEM
347,10.0,18411,DEM
348,25.0,63113,DEM
349,75.0,90036,DEM
350,250.0,49236,DEM
351,100.0,90404,DEM
352,100.0,78270,LIB
353,50.0,93001,LIB
354,50.0,22304,LIB
355,50.0,63301,LIB
356,20.0,40205,LIB
357,25.0,21045,LIB
358,5.0,45242,REP
359,501.0,80424,REP
360,25.0,95490,REP
361,200.0,55721,REP
362,-25.0,19454,DEM
363,-25.0,19454,DEM
364,-25.0,19454,DEM
365,-500.0,90007,DEM
366,-2070.0,20814,DEM
367,-501.0,80424,REP
368,50.0,44136,DEM
369,50.0,14094,DEM
370,50.0,14094,DEM
371,50.0,54308,DEM
372,25.0,22205,DEM
373,250.0,23435,DEM
374,50.0,32934,DEM
375,50.0,14420,DEM
376,100.0,13905,DEM
377,250.0,97201,DEM
378,50.0,20854,DEM
379,100.0,60073,DEM
380,100.0,66202,DEM
381,25.0,49315,DEM
382,250.0,33908,REP
383,30.0,33706,REP
384,200.0,37312,REP
385,50.0,28314,REP
386,200.0,30506,REP
387,20.0,98331,REP
388,2300.0,94301,REP
389,50.0,75204,REP
390,100.0,90401,REP
391,20.0,97034,REP
392,100.0,6897,REP
393,50.0,66615,REP
394,100.0,29550,REP
395,1000.0,75225,REP
396,50.0,73106,REP
397,50.0,33702,REP
398,500.0,92107,REP
399,100.0,8330,REP
400,250.0,33772,REP
401,50.0,32548,REP
402,100.0,98240,REP
403,150.0,34237,REP
404,50.0,77590,REP
405,300.0,80209,REP
406,500.0,37377,REP
407,25.0,50315,REP
408,100.0,4037,REP
409,-100.0,20772,DEM
410,-30.0,20772,DEM
411,50.0,60647,DEM
412,-2300.0,75088,DEM
413,-25.0,23669,DEM
414,-100.0,34982,DEM
415,-250.0,33908,REP
416,-200.0,37312,REP
417,-50.0,28314,REP
418,-2300.0,94301,REP
419,-1000.0,75225,REP
420,-500.0,92107,REP
421,-250.0,33772,REP
422,-150.0,34237,REP
423,-300.0,80209,REP
424,-500.0,37377,REP
425,-100.0,4037,REP
426,40.0,48706,DEM
427,100.0,90211,DEM
428,30.0,53717,DEM
429,50.0,10002,DEM
430,25.0,46218,DEM
431,25.0,95519,DEM
432,20.0,98584,DEM
433,20.0,60115,DEM
434,50.0,26041,DEM
435,25.0,25705,DEM
436,20.0,89123,DEM
437,100.0,97215,DEM
438,10.0,60201,DEM
439,25.0,90291,DEM
440,100.0,15237,DEM
441,100.0,95472,DEM
442,25.0,77054,DEM
443,20.0,77551,DEM
444,50.0,7046,DEM
445,25.0,29072,DEM
446,250.0,21030,DEM
447,25.0,5250,DEM
448,15.0,96815,DEM
449,50.0,94044,DEM
450,300.0,99803,DEM
451,25.0,76712,DEM
452,50.0,77087,DEM
453,10.0,92612,DEM
454,250.0,23233,DEM
455,20.0,91910,DEM
456,10.0,6877,DEM
457,15.0,89108,DEM
458,15.0,55405,GRE
459,100.0,44140,REP
460,100.0,94526,REP
461,1000.0,78132,REP
462,1000.0,48843,REP
463,100.0,55427,REP
464,36.0,2906,REP
465,20.0,81001,REP
466,-490.0,33181,DEM
467,-60.0,2472,DEM
468,-60.0,2472,DEM
469,-100.0,11222,DEM
470,-25.0,84043,DEM
471,-250.0,7030,DEM
472,-1000.0,78132,REP
473,-1000.0,48843,REP
474,10.0,45215,DEM
475,50.0,98030,DEM
476,50.0,60630,DEM
477,25.0,8823,DEM
478,50.0,2043,DEM
479,250.0,94618,DEM
480,50.0,10471,DEM
481,250.0,85281,DEM
482,10.0,46534,DEM
483,500.0,55401,DEM
484,25.0,81501,DEM
485,10.0,55932,DEM
486,250.0,7481,DEM
487,50.0,80206,DEM
488,50.0,80206,DEM
489,50.0,94102,DEM
490,50.0,80129,DEM
491,100.0,20878,DEM
492,1300.0,20189,DEM
493,500.0,2129,DEM
494,20.0,11050,DEM
495,10.0,33026,DEM
496,250.0,75061,DEM
497,125.0,90035,DEM
498,100.0,13212,DEM
499,15.0,95525,GRE
500,25.0,14450,REP
501,500.0,32256,REP
502,40.0,16125,REP
503,250.0,98104,REP
504,200.0,94018,REP
505,100.0,34231,REP
506,100.0,84003,REP
507,2300.0,75225,REP
508,10.0,48030,REP
509,250.0,1095,REP
510,35.0,54891,REP
511,50.0,97914,REP
512,200.0,95037,REP
513,50.0,33777,REP
514,170.0,48111,REP
515,2500.0,34228,REP
516,200.0,2482,REP
517,100.0,97302,REP
518,5.0,30512,REP
519,1.0,98532,REP
520,100.0,2668,REP
521,100.0,85716,REP
522,100.0,12077,REP
523,250.0,33175,REP
524,-500.0,66045,DEM
525,-500.0,32256,REP
526,-250.0,98104,REP
527,-2300.0,75225,REP
528,-250.0,1095,REP
529,-170.0,48111,REP
530,-2500.0,34228,REP
531,-250.0,33175,REP
532,2300.0,19041,DEM
533,2300.0,19041,DEM
534,250.0,2062,DEM
535,300.0,75228,DEM
536,20.0,46202,DEM
537,50.0,7042,DEM
538,50.0,46113,DEM
539,250.0,11225,DEM
540,15.0,95124,DEM
541,20.0,91304,DEM
542,250.0,60542,DEM
543,10.0,11003,DEM
544,250.0,94597,DEM
